N° de Commande,Date de Commande,Date de Livraison,Id Client,Canal,Id Produit,Quantité
CDE - 0001479,01/10/19,2019-01-17,28,Détaillant,2,6
CDE - 0001795,01/10/19,2019-01-16,26,Grossiste,11,9
CDE - 0002193,01/10/19,2019-01-20,50,Détaillant,7,12
CDE - 0001204,01/11/19,2019-01-28,15,Grossiste,5,5
CDE - 0001228,01/11/19,2019-01-25,35,Détaillant,1,10
CDE - 0001533,01/11/19,2019-01-18,50,Grossiste,1,8
CDE - 0002339,01/11/19,2019-01-28,14,Grossiste,10,10
CDE - 0004561,01/11/19,2019-01-26,27,Détaillant,7,11
CDE - 0005447,01/11/19,2019-01-27,47,Détaillant,7,12
CDE - 0006372,01/11/19,2019-01-23,31,Grossiste,6,10
CDE - 0001227,01/12/19,2019-01-30,50,Grossiste,5,-1
CDE - 0003865,01/12/19,2019-01-26,43,Détaillant,1,10
CDE - 0005804,01/12/19,2019-01-25,43,Grossiste,11,6
CDE - 0006140,01/12/19,2019-01-22,38,Grossiste,1,8
CDE - 0002439,01/13/19,2019-01-19,33,Détaillant,5,8
CDE - 0003212,01/13/19,2019-01-25,50,Grossiste,2,6
CDE - 0003788,01/13/19,2019-01-29,40,Grossiste,5,12
CDE - 0006846,01/13/19,2019-01-25,9,Grossiste,7,11
CDE - 0007646,01/13/19,2019-01-27,12,Détaillant,4,7
CDE - 0002111,01/14/19,2019-01-26,48,Grossiste,6,7
CDE - 0003417,01/14/19,2019-01-18,44,Export,11,9
CDE - 0004903,01/14/19,2019-01-22,6,Export,11,8
CDE - 0007338,01/14/19,2019-01-20,36,Détaillant,12,11
CDE - 0007947,01/14/19,2019-01-22,28,Détaillant,5,5
CDE - 0005215,01/15/19,2019-01-22,37,Export,1,7
CDE - 0006205,01/15/19,2019-01-29,17,Export,9,6
CDE - 0006985,01/15/19,2019-01-30,41,Détaillant,5,8
CDE - 000393,01/16/19,2019-01-20,26,Détaillant,13,10
CDE - 000508,01/16/19,2019-01-29,13,Grossiste,11,8
CDE - 000563,01/16/19,2019-02-03,30,Grossiste,2,9
CDE - 000970,01/16/19,2019-01-25,39,Export,13,10
CDE - 0001397,01/16/19,2019-02-01,35,Détaillant,2,5
CDE - 0001447,01/16/19,2019-02-03,39,Grossiste,5,10
CDE - 0001988,01/16/19,2019-01-30,49,Grossiste,1,9
CDE - 0004362,01/16/19,2019-01-29,39,Détaillant,7,12
CDE - 0005343,01/16/19,2019-02-01,12,Détaillant,8,5
CDE - 0006711,01/16/19,2019-01-23,33,Export,13,-1
CDE - 000682,01/17/19,2019-01-25,18,Détaillant,14,8
CDE - 000860,01/17/19,2019-01-21,29,Détaillant,4,10
CDE - 0002293,01/17/19,2019-01-26,36,Grossiste,9,12
CDE - 0003484,01/17/19,2019-01-25,27,Détaillant,11,9
CDE - 0003945,01/17/19,2019-01-28,35,Export,13,9
CDE - 0004131,01/17/19,2019-01-22,50,Grossiste,5,9
CDE - 0005304,01/17/19,2019-01-23,27,Grossiste,8,11
CDE - 0006039,01/17/19,2019-01-23,25,Grossiste,10,7
CDE - 0006922,01/17/19,2019-01-31,9,Grossiste,7,8
CDE - 0007354,01/17/19,2019-01-27,37,Détaillant,2,6
CDE - 000137,01/18/19,2019-01-24,46,Grossiste,11,7
CDE - 000182,01/18/19,2019-01-26,34,Grossiste,11,5
CDE - 000560,01/18/19,2019-02-05,21,Détaillant,9,8
CDE - 0001232,01/18/19,2019-01-30,8,Grossiste,14,5
CDE - 0002312,01/18/19,2019-01-21,15,Grossiste,7,7
CDE - 0004164,01/18/19,2019-01-25,25,Détaillant,7,9
CDE - 0004961,01/18/19,2019-02-05,2,Détaillant,6,10
CDE - 0005695,01/18/19,2019-02-02,15,Grossiste,3,10
CDE - 000303,01/19/19,2019-01-22,38,Grossiste,5,6
CDE - 0001875,01/19/19,2019-02-02,48,Grossiste,2,10
CDE - 0004895,01/19/19,2019-01-25,9,Grossiste,13,7
CDE - 0005065,01/19/19,2019-01-30,23,Détaillant,1,5
CDE - 0005637,01/19/19,2019-02-03,43,Grossiste,2,7
CDE - 0006390,01/19/19,2019-02-01,48,Détaillant,2,11
CDE - 0006996,01/19/19,2019-02-05,11,Grossiste,3,9
CDE - 000363,01/20/19,2019-01-30,7,Grossiste,1,10
CDE - 000416,01/20/19,2019-02-07,30,Grossiste,4,10
CDE - 0005660,01/20/19,2019-02-07,11,Grossiste,1,5
CDE - 0005844,01/20/19,2019-01-30,39,Détaillant,5,10
CDE - 0006451,01/20/19,2019-01-25,8,Grossiste,11,11
CDE - 0006834,01/20/19,2019-01-31,50,Grossiste,7,8
CDE - 0007084,01/20/19,2019-01-23,4,Détaillant,14,9
CDE - 0003432,01/21/19,2019-02-02,37,Détaillant,7,12
CDE - 0004914,01/21/19,2019-01-25,3,Grossiste,7,11
CDE - 0005585,01/21/19,2019-01-27,49,Grossiste,7,8
CDE - 0005719,01/21/19,2019-01-26,38,Détaillant,2,6
CDE - 0006832,01/21/19,2019-02-03,10,Grossiste,5,12
CDE - 0001509,01/22/19,2019-01-30,37,Grossiste,1,7
CDE - 0002061,01/22/19,2019-01-26,35,Grossiste,7,6
CDE - 0003249,01/22/19,2019-02-04,42,Grossiste,1,11
CDE - 0003515,01/22/19,2019-02-04,30,Détaillant,3,8
CDE - 0003766,01/22/19,2019-02-02,32,Détaillant,7,9
CDE - 0004090,01/22/19,2019-02-08,27,Détaillant,2,11
CDE - 0004636,01/22/19,2019-01-26,23,Grossiste,11,7
CDE - 0004658,01/22/19,2019-01-27,48,Grossiste,1,7
CDE - 0004952,01/22/19,2019-01-26,4,Grossiste,11,10
CDE - 0005816,01/22/19,2019-02-01,32,Détaillant,12,10
CDE - 0006995,01/22/19,2019-02-08,49,Grossiste,5,9
CDE - 000608,01/23/19,2019-02-09,48,Grossiste,4,12
CDE - 0001278,01/23/19,2019-01-31,11,Détaillant,13,8
CDE - 0003760,01/23/19,2019-02-06,3,Grossiste,8,6
CDE - 0003875,01/23/19,2019-02-02,41,Détaillant,7,8
CDE - 0004798,01/23/19,2019-01-28,14,Grossiste,2,10
CDE - 0007739,01/23/19,2019-01-29,24,Grossiste,11,6
CDE - 000396,01/24/19,2019-01-29,13,Détaillant,2,11
CDE - 0005024,01/24/19,2019-01-30,24,Détaillant,7,10
CDE - 0006157,01/24/19,2019-01-30,19,Détaillant,2,12
CDE - 0006980,01/24/19,2019-02-05,43,Grossiste,10,9
CDE - 0007374,01/24/19,2019-01-30,3,Grossiste,7,10
CDE - 000797,01/25/19,2019-02-05,20,Grossiste,5,5
CDE - 0001241,01/25/19,2019-01-29,11,Grossiste,6,5
CDE - 0001972,01/25/19,2019-02-06,43,Export,5,7
CDE - 0002384,01/25/19,2019-02-04,17,Grossiste,5,8
CDE - 0003209,01/25/19,2019-02-05,21,Export,7,9
CDE - 0003840,01/25/19,2019-02-07,22,Détaillant,7,12
CDE - 0004191,01/25/19,2019-02-09,40,Grossiste,14,12
CDE - 0006530,01/25/19,2019-02-07,3,Export,7,8
CDE - 0007353,01/25/19,2019-02-05,19,Export,7,11
CDE - 000793,01/26/19,2019-02-04,15,Grossiste,1,7
CDE - 000907,01/26/19,2019-02-04,28,Grossiste,2,6
CDE - 0001683,01/26/19,2019-02-03,22,Grossiste,1,8
CDE - 0003007,01/26/19,2019-02-08,13,Détaillant,4,9
CDE - 0004832,01/26/19,2019-02-07,43,Export,5,8
CDE - 0007609,01/26/19,2019-02-06,41,Grossiste,7,9
CDE - 0007679,01/26/19,2019-02-12,50,Export,9,11
CDE - 0007747,01/26/19,2019-02-02,21,Détaillant,11,9
CDE - 0007940,01/26/19,2019-02-04,16,Grossiste,11,9
CDE - 000454,01/27/19,2019-02-12,8,Export,5,8
CDE - 0004560,01/27/19,2019-01-30,22,Grossiste,7,6
CDE - 0005588,01/27/19,2019-02-11,49,Grossiste,7,11
CDE - 000236,01/28/19,2019-02-11,11,Export,7,11
CDE - 0002473,01/28/19,2019-02-05,5,Détaillant,5,8
CDE - 0003168,01/28/19,2019-02-02,21,Grossiste,12,10
CDE - 0004227,01/28/19,2019-02-09,12,Grossiste,5,11
CDE - 0005907,01/28/19,2019-02-14,27,Export,5,5
CDE - 0006409,01/28/19,2019-02-02,41,Détaillant,5,12
CDE - 0001947,01/29/19,2019-02-06,46,Détaillant,1,12
CDE - 0003926,01/29/19,2019-02-09,20,Grossiste,13,11
CDE - 0005035,01/29/19,2019-02-04,47,Détaillant,13,9
CDE - 0006713,01/29/19,2019-02-04,48,Détaillant,11,11
CDE - 0007467,01/29/19,2019-02-11,45,Détaillant,11,8
CDE - 000101,01/30/19,2019-02-05,15,Détaillant,11,5
CDE - 0001676,01/30/19,2019-02-08,30,Détaillant,2,10
CDE - 0002311,01/30/19,2019-02-10,25,Grossiste,7,7
CDE - 0003904,01/30/19,2019-02-04,42,Détaillant,5,9
CDE - 0004725,01/30/19,2019-02-10,26,Grossiste,5,10
CDE - 0005509,01/30/19,2019-02-15,47,Export,9,11
CDE - 0005552,01/30/19,2019-02-03,19,Export,1,7
CDE - 0006209,01/30/19,2019-02-16,37,Export,2,6
CDE - 0006416,01/30/19,2019-02-08,22,Export,9,12
CDE - 0007618,01/30/19,2019-02-03,50,Export,13,8
CDE - 0007746,01/30/19,2019-02-11,2,Détaillant,5,5
CDE - 0001267,01/31/19,2019-02-10,9,Export,11,6
CDE - 0001761,01/31/19,2019-02-04,29,Export,7,6
CDE - 0001914,01/31/19,2019-02-17,20,Détaillant,11,6
CDE - 0002735,01/31/19,2019-02-04,8,?,5,9
CDE - 0002897,01/31/19,2019-02-06,7,Détaillant,13,7
CDE - 0003853,01/31/19,2019-02-12,44,Détaillant,7,9
CDE - 0004234,01/31/19,2019-02-18,11,Grossiste,11,6
CDE - 0004271,01/31/19,2019-02-05,41,Grossiste,10,11
CDE - 0004291,01/31/19,2019-02-18,3,Grossiste,3,7
CDE - 0005860,01/31/19,2019-02-12,36,Grossiste,5,11
CDE - 0007901,01/31/19,2019-02-13,40,Grossiste,1,8
CDE - 0008061,01/31/19,2019-02-14,25,Grossiste,13,12
CDE - 0002644,02/01/19,2019-02-12,18,Détaillant,9,9
CDE - 0003264,02/01/19,2019-02-15,3,Grossiste,5,6
CDE - 0006423,02/01/19,2019-02-10,8,Grossiste,1,7
CDE - 0006450,02/01/19,2019-02-14,40,Grossiste,11,5
CDE - 0007170,02/01/19,2019-02-11,42,Grossiste,7,10
CDE - 000110,02/02/19,2019-02-10,33,Grossiste,1,6
CDE - 0002343,02/02/19,2019-02-09,3,Grossiste,9,12
CDE - 0004644,02/02/19,2019-02-19,8,Grossiste,11,11
CDE - 0005362,02/02/19,2019-02-11,16,Export,1,5
CDE - 0005644,02/02/19,2019-02-06,12,Grossiste,4,11
CDE - 0006179,02/02/19,2019-02-20,2,Détaillant,7,8
CDE - 0001072,02/03/19,2019-02-18,46,Export,5,12
CDE - 0002750,02/03/19,2019-02-16,18,Grossiste,1,10
CDE - 0003731,02/03/19,2019-02-17,46,Export,7,11
CDE - 0005029,02/03/19,2019-02-16,12,Détaillant,7,9
CDE - 0006001,02/03/19,2019-02-06,38,Détaillant,3,10
CDE - 0006850,02/03/19,2019-02-11,33,Grossiste,9,8
CDE - 000462,02/04/19,2019-02-19,24,Grossiste,12,8
CDE - 0005260,02/04/19,2019-02-17,12,Export,9,11
CDE - 0006443,02/04/19,2019-02-22,6,Export,7,10
CDE - 0007057,02/04/19,2019-02-18,20,Détaillant,7,9
CDE - 0007699,02/04/19,2019-02-11,10,Export,3,11
CDE - 000819,02/05/19,2019-02-22,22,Export,4,9
CDE - 0001350,02/05/19,2019-02-20,50,Export,10,8
CDE - 0001468,02/05/19,2019-02-14,33,Détaillant,11,11
CDE - 0001962,02/05/19,2019-02-12,5,Grossiste,7,9
CDE - 0002204,02/05/19,2019-02-12,49,Grossiste,11,12
CDE - 0002738,02/05/19,2019-02-13,20,Détaillant,7,6
CDE - 0003723,02/05/19,2019-02-22,1,Export,13,12
CDE - 0004626,02/05/19,2019-02-19,39,Grossiste,2,8
CDE - 0004941,02/05/19,2019-02-09,31,Grossiste,1,11
CDE - 0005166,02/05/19,2019-02-11,7,Grossiste,2,7
CDE - 0007847,02/05/19,2019-02-23,49,Détaillant,1,9
CDE - 000163,02/06/19,2019-02-20,6,Grossiste,7,8
CDE - 0002508,02/06/19,2019-02-09,48,Détaillant,12,8
CDE - 0002525,02/06/19,2019-02-23,30,Grossiste,13,5
CDE - 0003174,02/06/19,2019-02-24,6,Détaillant,7,11
CDE - 0003246,02/06/19,2019-02-20,19,Grossiste,9,11
CDE - 0004500,02/06/19,2019-02-09,46,Export,7,7
CDE - 0006848,02/06/19,2019-02-24,12,Grossiste,6,9
CDE - 000356,02/07/19,2019-02-16,17,Grossiste,2,9
CDE - 0001498,02/07/19,2019-02-19,40,Détaillant,8,6
CDE - 0001926,02/07/19,2019-02-12,21,Détaillant,2,9
CDE - 0002997,02/07/19,2019-02-13,44,Grossiste,5,9
CDE - 0003389,02/07/19,2019-02-23,29,Grossiste,14,12
CDE - 0003477,02/07/19,2019-02-19,1,Export,7,12
CDE - 0003745,02/07/19,2019-02-12,31,Grossiste,6,10
CDE - 0003924,02/07/19,2019-02-23,9,Grossiste,1,6
CDE - 0003937,02/07/19,2019-02-24,5,Export,7,8
CDE - 0004599,02/07/19,2019-02-11,12,Détaillant,1,10
CDE - 0005030,02/07/19,2019-02-14,4,Export,2,5
CDE - 0005262,02/07/19,2019-02-21,7,Grossiste,3,6
CDE - 0005465,02/07/19,2019-02-14,27,Export,7,12
CDE - 0007707,02/07/19,2019-02-15,27,Grossiste,2,7
CDE - 000696,02/08/19,2019-02-15,16,Détaillant,1,11
CDE - 0005496,02/08/19,2019-02-11,42,Export,2,8
CDE - 0005973,02/08/19,2019-02-16,46,Détaillant,8,12
CDE - 0006564,02/08/19,2019-02-22,49,Grossiste,7,7
CDE - 000344,02/09/19,2019-02-27,4,Export,14,8
CDE - 000770,02/09/19,2019-02-25,13,Export,1,10
CDE - 0002814,02/09/19,2019-02-15,5,Grossiste,7,7
CDE - 0003031,02/09/19,2019-02-21,47,Grossiste,7,12
CDE - 0005624,02/09/19,2019-02-21,18,Grossiste,7,8
CDE - 0006367,02/09/19,2019-02-12,23,Grossiste,2,11
CDE - 0007401,02/09/19,2019-02-14,28,Grossiste,2,12
CDE - 0007799,02/09/19,2019-02-23,13,Export,2,10
CDE - 0001421,02/10/19,2019-02-21,8,Détaillant,2,7
CDE - 0001643,02/10/19,2019-02-21,42,Détaillant,9,12
CDE - 0002446,02/10/19,2019-02-26,36,Export,11,8
CDE - 0002700,02/10/19,2019-02-28,36,Export,1,12
CDE - 0005713,02/10/19,2019-02-24,22,Grossiste,7,12
CDE - 0005910,02/10/19,2019-02-26,22,Grossiste,14,8
CDE - 0006750,02/10/19,2019-02-23,37,Grossiste,2,12
CDE - 0007388,02/10/19,2019-02-25,43,Export,14,9
CDE - 0008039,02/10/19,2019-02-28,33,Export,13,12
CDE - 0008060,02/10/19,2019-02-19,8,Grossiste,7,8
CDE - 000898,02/11/19,2019-02-21,9,Détaillant,1,5
CDE - 0002028,02/11/19,2019-02-19,1,Grossiste,2,11
CDE - 0002496,02/11/19,2019-02-17,28,Détaillant,7,6
CDE - 0005779,02/11/19,2019-02-16,19,Grossiste,1,7
CDE - 0004893,02/12/19,2019-02-22,11,Grossiste,5,8
CDE - 0006083,02/12/19,2019-02-24,23,Export,13,12
CDE - 0007645,02/12/19,2019-02-18,49,Détaillant,7,7
CDE - 0007795,02/12/19,2019-02-23,24,Grossiste,7,10
CDE - 000702,02/13/19,2019-02-18,23,Détaillant,12,10
CDE - 0001009,02/13/19,2019-02-16,3,Grossiste,11,10
CDE - 0001457,02/13/19,2019-02-28,39,Export,11,6
CDE - 0001871,02/13/19,2019-03-01,14,Grossiste,11,7
CDE - 0003863,02/13/19,2019-02-16,22,Grossiste,11,5
CDE - 0005406,02/13/19,2019-02-24,27,Détaillant,11,10
CDE - 0006779,02/13/19,2019-02-24,26,Grossiste,1,8
CDE - 0006999,02/13/19,2019-02-21,32,Détaillant,5,12
CDE - 000736,02/14/19,2019-02-24,7,Grossiste,2,10
CDE - 0001974,02/14/19,2019-02-27,44,Grossiste,9,8
CDE - 0002553,02/14/19,2019-02-28,39,Export,7,9
CDE - 0003122,02/14/19,2019-02-21,25,Grossiste,1,9
CDE - 0004044,02/14/19,2019-02-23,4,Grossiste,11,5
CDE - 0004337,02/14/19,2019-02-17,42,Export,9,12
CDE - 0004739,02/14/19,2019-02-24,5,Détaillant,2,7
CDE - 0004981,02/14/19,2019-02-21,24,Grossiste,13,9
CDE - 0007416,02/14/19,2019-03-02,15,?,7,5
CDE - 0007786,02/14/19,2019-02-24,43,Détaillant,9,6
CDE - 000681,02/15/19,2019-02-21,39,Grossiste,4,10
CDE - 0001379,02/15/19,2019-03-03,27,Grossiste,1,7
CDE - 0006151,02/15/19,2019-02-22,42,Grossiste,7,7
CDE - 0006345,02/15/19,2019-03-03,27,Export,5,6
CDE - 0006431,02/15/19,2019-02-27,21,Grossiste,5,5
CDE - 000298,02/16/19,2019-02-24,24,Détaillant,13,8
CDE - 0002544,02/16/19,2019-02-21,19,Grossiste,2,6
CDE - 0002724,02/16/19,2019-02-21,12,Grossiste,1,5
CDE - 0004368,02/16/19,2019-02-23,8,Détaillant,5,8
CDE - 0005705,02/16/19,2019-02-25,37,Grossiste,1,10
CDE - 0007404,02/16/19,2019-03-01,4,Grossiste,7,9
CDE - 0007491,02/16/19,2019-02-23,24,Grossiste,2,9
CDE - 0002901,02/17/19,2019-03-04,31,Grossiste,9,9
CDE - 0002908,02/17/19,2019-03-01,20,Export,1,10
CDE - 0003602,02/17/19,2019-02-25,47,Grossiste,1,9
CDE - 0004487,02/17/19,2019-03-07,37,Grossiste,6,9
CDE - 0003354,02/18/19,2019-02-27,34,Détaillant,1,12
CDE - 0004529,02/18/19,2019-03-08,19,Détaillant,7,11
CDE - 0004537,02/18/19,2019-03-04,41,Grossiste,2,9
CDE - 0005789,02/18/19,2019-02-24,12,Grossiste,7,7
CDE - 0006070,02/18/19,2019-03-07,20,Détaillant,11,9
CDE - 0006334,02/18/19,2019-02-27,37,Grossiste,11,12
CDE - 0006384,02/18/19,2019-02-25,17,Détaillant,1,7
CDE - 000577,02/19/19,2019-03-08,3,Export,1,5
CDE - 0001013,02/19/19,2019-03-09,19,Grossiste,5,6
CDE - 0002835,02/19/19,2019-03-09,6,Détaillant,7,7
CDE - 0003740,02/19/19,2019-03-09,38,Export,13,8
CDE - 0006007,02/19/19,2019-02-25,24,Grossiste,2,9
CDE - 0006259,02/19/19,2019-03-07,50,Détaillant,5,5
CDE - 0007827,02/19/19,2019-03-02,42,Grossiste,1,10
CDE - 0007952,02/19/19,2019-02-28,22,Détaillant,5,6
CDE - 0002849,02/20/19,2019-02-27,50,Grossiste,11,5
CDE - 0005137,02/20/19,2019-03-10,12,Grossiste,2,5
CDE - 0005571,02/20/19,2019-02-23,15,Grossiste,7,9
CDE - 0005826,02/20/19,2019-02-25,31,Grossiste,2,10
CDE - 0001086,02/21/19,2019-02-25,24,Grossiste,5,5
CDE - 0001539,02/21/19,2019-02-28,25,Détaillant,2,8
CDE - 0002917,02/21/19,2019-02-28,12,Grossiste,11,7
CDE - 0004231,02/21/19,2019-02-26,46,Détaillant,1,12
CDE - 0004606,02/21/19,2019-03-08,29,Export,7,9
CDE - 0004879,02/21/19,2019-02-24,32,Grossiste,7,10
CDE - 0007771,02/21/19,2019-02-28,44,Détaillant,5,8
CDE - 0002383,02/22/19,2019-03-02,50,Grossiste,9,5
CDE - 0003482,02/22/19,2019-02-26,37,Détaillant,11,11
CDE - 0005191,02/22/19,2019-03-11,10,Détaillant,9,12
CDE - 0006017,02/22/19,2019-03-01,30,Export,11,5
CDE - 0001559,02/23/19,2019-03-06,23,Grossiste,9,7
CDE - 0001944,02/23/19,2019-03-12,32,Détaillant,9,8
CDE - 0003823,02/23/19,2019-03-06,23,Détaillant,7,5
CDE - 0004311,02/23/19,2019-03-02,12,Grossiste,1,7
CDE - 0005488,02/23/19,2019-02-26,13,Détaillant,14,5
CDE - 0005821,02/23/19,2019-02-28,24,Grossiste,11,5
CDE - 0006800,02/23/19,2019-02-27,36,Export,11,11
CDE - 0007102,02/23/19,2019-03-07,20,Grossiste,2,6
CDE - 0007855,02/23/19,2019-03-02,9,Grossiste,7,9
CDE - 000528,02/24/19,2019-03-10,33,Grossiste,11,7
CDE - 000989,02/24/19,2019-03-12,12,Détaillant,11,6
CDE - 0002201,02/24/19,2019-03-04,24,Export,3,8
CDE - 0001549,02/25/19,2019-03-12,26,Détaillant,9,11
CDE - 0001856,02/25/19,2019-03-06,7,Grossiste,2,8
CDE - 0001859,02/25/19,2019-03-12,5,Grossiste,2,8
CDE - 0001992,02/25/19,2019-03-10,32,Export,14,11
CDE - 0002573,02/25/19,2019-03-12,22,Détaillant,7,7
CDE - 0003618,02/25/19,2019-03-12,28,Détaillant,1,11
CDE - 0005217,02/25/19,2019-03-12,7,Détaillant,5,7
CDE - 0005265,02/25/19,2019-03-11,23,Détaillant,5,8
CDE - 000683,02/26/19,2019-03-10,21,Détaillant,5,6
CDE - 000872,02/26/19,2019-03-07,9,Détaillant,7,6
CDE - 0004105,02/26/19,2019-03-10,49,Grossiste,2,8
CDE - 0005239,02/26/19,2019-03-09,15,Détaillant,11,10
CDE - 0007308,02/26/19,2019-03-13,24,Grossiste,11,9
CDE - 0007792,02/26/19,2019-03-03,7,Grossiste,13,11
CDE - 0008063,02/26/19,2019-03-16,4,Grossiste,6,9
CDE - 0004522,02/27/19,2019-03-08,22,Grossiste,4,12
CDE - 0005603,02/27/19,2019-03-17,28,Détaillant,5,10
CDE - 0007337,02/27/19,2019-03-15,38,Export,11,5
CDE - 0007340,02/27/19,2019-03-17,2,Détaillant,7,7
CDE - 0007593,02/27/19,2019-03-15,12,Grossiste,6,12
CDE - 000637,02/28/19,2019-03-04,13,Grossiste,1,5
CDE - 0001189,02/28/19,2019-03-17,46,Grossiste,2,8
CDE - 0001666,02/28/19,2019-03-07,23,Grossiste,7,11
CDE - 0002799,02/28/19,2019-03-15,37,Export,13,8
CDE - 0003359,02/28/19,2019-03-05,24,Détaillant,1,6
CDE - 0005220,02/28/19,2019-03-10,12,Détaillant,2,8
CDE - 0005430,02/28/19,2019-03-16,45,Détaillant,5,6
CDE - 0005451,02/28/19,2019-03-15,50,Grossiste,7,8
CDE - 0006015,02/28/19,2019-03-04,4,Grossiste,5,5
CDE - 0006928,02/28/19,2019-03-16,15,Grossiste,5,12
CDE - 0007779,02/28/19,2019-03-11,16,Export,7,9
CDE - 000669,03/01/19,2019-03-16,49,Export,1,10
CDE - 0001261,03/01/19,2019-03-09,33,Grossiste,5,7
CDE - 0001398,03/01/19,2019-03-06,17,Grossiste,11,12
CDE - 0001406,03/01/19,2019-03-14,23,Grossiste,1,11
CDE - 0002539,03/01/19,2019-03-19,30,Grossiste,12,10
CDE - 0004753,03/01/19,2019-03-18,15,Grossiste,1,12
CDE - 0006743,03/01/19,2019-03-05,11,Grossiste,7,5
CDE - 0007127,03/01/19,2019-03-13,33,Grossiste,4,12
CDE - 000365,03/02/19,2019-03-19,40,Détaillant,2,5
CDE - 0002118,03/02/19,2019-03-05,6,Grossiste,1,10
CDE - 0004459,03/02/19,2019-03-13,39,Grossiste,1,9
CDE - 0004821,03/02/19,2019-03-19,48,Détaillant,11,10
CDE - 0005802,03/02/19,2019-03-13,2,Export,13,7
